,Open,High,Low,Close,Adj Close,Volume
1/29/1985,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000
1/30/1985,1297.369995,1305.099976,1278.930054,1294.290861,1287.880005,16820000
1/31/1985,1283.23999,1293.400024,1272.640015,1295.96605,1286.77002,14070000
2/1/1985,1276.939941,1286.109985,1269.77002,1297.645578,1277.719971,10980000
2/2/1985,1272.079956,1294.939941,1268.98999,1299.329462,1290.079956,11630000
2/3/1985,1294.060059,1301.130005,1278.599976,1301.017719,1285.22998,13800000
2/4/1985,1284.890015,1294.5,1275.069946,1302.710366,1280.589966,14610000
2/5/1985,1285,1297.040039,1279.810059,1304.407421,1290.079956,11440000
2/6/1985,1290.079956,1297.150024,1281.359985,1306.1089,1289.969971,8000000
2/7/1985,1287.98999,1291.73999,1268.660034,1307.81482,1276.060059,12600000
2/8/1985,1271.199951,1283.130005,1266.339966,1309.5252,1276.609985,11870000
2/9/1985,1277.829956,1304.660034,1274.51001,1311.240056,1297.920044,14050000
2/10/1985,1301.790039,1307.530029,1283.680054,1312.959406,1287.880005,14020000
2/11/1985,1289.199951,1296.27002,1275.069946,1314.683269,1282.02002,8730000
2/12/1985,1279.810059,1287.430054,1273.52002,1316.411661,1280.589966,6690000
2/13/1985,1280.150024,1292.51001,1272.530029,1318.1446,1283.130005,10760000
2/14/1985,1280.369995,1287.099976,1272.640015,1319.882106,1279.040039,8600000
2/15/1985,1277.939941,1286.550049,1269.98999,1321.624194,1275.839966,8500000
2/16/1985,1269.98999,1283.130005,1263.910034,1323.370885,1277.5,8420000
2/17/1985,1276.280029,1293.180054,1272.310059,1325.122195,1286.109985,11910000
2/18/1985,1285.670044,1295.27002,1274.400024,1326.878144,1281.030029,11900000
2/19/1985,1278.050049,1288.319946,1271.420044,1328.63875,1284.01001,8790000
2/20/1985,1285.339966,1309.959961,1282.689941,1330.404031,1299.359985,14730000
2/21/1985,1299.910034,1304.550049,1283.130005,1332.174006,1289.530029,12010000
2/22/1985,1290.079956,1300.02002,1281.030029,1333.948693,1291.849976,10060000
2/23/1985,1291.849976,1296.930054,1275.51001,1335.728112,1280.369995,10990000
2/24/1985,1276.829956,1283.23999,1265.459961,1337.512282,1271.530029,9870000
2/25/1985,1273.410034,1280.810059,1264.130005,1339.301221,1269.660034,9120000
2/26/1985,1268.77002,1277.050049,1260.930054,1341.094949,1268.550049,7710000
2/27/1985,1267.560059,1279.47998,1262.47998,1342.893485,1271.75,8340000
2/28/1985,1270.97998,1278.27002,1257.619995,1344.696847,1261.699951,8840000
3/1/1985,1258.719971,1269.209961,1254.199951,1346.505057,1260.050049,7950000
3/2/1985,1259.719971,1266.890015,1245.140015,1348.318133,1247.349976,11280000
3/3/1985,1252.650024,1260.930054,1242.819946,1350.136095,1249.670044,8270000
3/4/1985,1249.01001,1274.180054,1245.689941,1351.958962,1271.089966,8990000
3/5/1985,1271.530029,1277.390015,1257.839966,1353.786755,1265.23999,10540000
3/6/1985,1263.800049,1278.930054,1257.619995,1355.619494,1268.219971,9630000
3/7/1985,1272.420044,1277.390015,1261.699951,1357.457198,1267.449951,7800000
3/8/1985,1261.699951,1268.329956,1252.869995,1359.299888,1259.939941,7930000
3/9/1985,1257.069946,1267.560059,1252.099976,1361.147584,1259.719971,9520000
3/10/1985,1260.160034,1270.869995,1255.959961,1363.000307,1264.910034,8960000
3/11/1985,1265.900024,1275.51001,1256.630005,1364.858077,1260.709961,8700000
3/12/1985,1263.469971,1270.650024,1255.849976,1366.720914,1266.780029,9810000
3/13/1985,1264.800049,1276.280029,1260.48999,1368.58884,1272.75,6930000
3/14/1985,1273.959961,1280.150024,1261.47998,1370.461876,1265.680054,8460000
3/15/1985,1264.689941,1268.109985,1251.550049,1372.340042,1258.060059,9310000
3/16/1985,1256.290039,1264.23999,1248.339966,1374.223359,1259.050049,6920000
3/17/1985,1259.5,1267.01001,1246.02002,1376.111849,1252.97998,7940000
3/18/1985,1252.209961,1262.040039,1246.579956,1378.005532,1253.859985,8010000
3/19/1985,1256.849976,1269.099976,1252.099976,1379.904432,1259.939941,9130000
3/20/1985,1265.23999,1274.849976,1257.180054,1381.808568,1263.689941,10800000
3/21/1985,1263.689941,1270.430054,1257.290039,1383.717963,1265.680054,7320000
3/22/1985,1262.589966,1272.420044,1257.839966,1385.632638,1266.780029,6870000
3/23/1985,1268.109985,1276.609985,1256.959961,1387.552616,1269.550049,9870000
3/24/1985,1269.660034,1277.5,1263.469971,1389.477918,1272.310059,9120000
3/25/1985,1278.819946,1281.910034,1260.819946,1391.408567,1265.130005,11170000
3/26/1985,1265.130005,1272.530029,1258.5,1393.344585,1266.560059,8740000
3/27/1985,1269.77002,1273.630005,1257.619995,1395.285994,1266.560059,7080000
3/28/1985,1265.349976,1282.910034,1261.150024,1397.232817,1278.709961,10790000
3/29/1985,1279.48999,1286.439941,1269.880005,1399.185077,1278.48999,8510000
3/30/1985,1276.829956,1289.199951,1272.530029,1401.142796,1284.780029,9620000
3/31/1985,1286.219971,1290.300049,1270.540039,1403.105997,1275.180054,8930000
4/1/1985,1272.859985,1277.939941,1257.400024,1405.074703,1259.719971,9200000
4/2/1985,1256.73999,1266.22998,1245.800049,1407.048938,1258.060059,12390000
4/3/1985,1257.180054,1262.810059,1239.069946,1409.028725,1242.050049,10050000
4/4/1985,1244.369995,1251.209961,1235.530029,1411.014087,1242.27002,9780000
4/5/1985,1243.709961,1253.859985,1238.300049,1413.005047,1247.23999,8680000
4/6/1985,1246.910034,1256.400024,1241.390015,1415.001631,1247.790039,7100000
4/7/1985,1248.22998,1261.369995,1243.150024,1417.00386,1252.75,9140000
4/8/1985,1248.670044,1258.939941,1239.51001,1419.01176,1249.780029,9710000
4/9/1985,1251.880005,1265.569946,1246.579956,1421.025355,1260.27002,16290000
4/10/1985,1268.98999,1282.459961,1261.589966,1423.044668,1274.180054,16460000
4/11/1985,1277.609985,1283.569946,1268.77002,1425.069724,1277.5,7530000
