Date,Open,High,Low,Close,Adj Close,Volume
1/29/1985,304880,1295.48999,1266.890015,1292.619995,1292.619995,13560000
1/30/1985,307120.6,1305.099976,1278.930054,1320.600668,1287.880005,16820000
1/31/1985,307120.6,1293.400024,1272.640015,1349.397108,1286.77002,14070000
2/1/1985,307120.6,1286.109985,1269.77002,1378.821472,1277.719971,10980000
2/2/1985,307120.6,1294.939941,1268.98999,1408.887449,1290.079956,11630000
2/3/1985,307120.6,1301.130005,1278.599976,1439.609033,1285.22998,13800000
2/4/1985,307120.6,1294.5,1275.069946,1471.000518,1280.589966,14610000
2/5/1985,307120.6,1297.040039,1279.810059,1503.076512,1290.079956,11440000
2/6/1985,303779.1,1297.150024,1281.359985,1535.851941,1289.969971,8000000
2/7/1985,303779.1,1291.73999,1268.660034,1568.977681,1276.060059,12600000
2/8/1985,303779.1,1283.130005,1266.339966,1602.817887,1276.609985,11870000
2/9/1985,303779.1,1304.660034,1274.51001,1637.38797,1297.920044,14050000
2/10/1985,303779.1,1307.530029,1283.680054,1672.703672,1287.880005,14020000
2/11/1985,303779.1,1296.27002,1275.069946,1708.781073,1282.02002,8730000
2/12/1985,303779.1,1287.430054,1273.52002,1745.636603,1280.589966,6690000
2/13/1985,309743.3,1292.51001,1272.530029,1783.287045,1283.130005,10760000
2/14/1985,309743.3,1287.099976,1272.640015,1822.504692,1279.040039,8600000
2/15/1985,309743.3,1286.550049,1269.98999,1862.584803,1275.839966,8500000
2/16/1985,309743.3,1283.130005,1263.910034,1903.546348,1277.5,8420000
2/17/1985,309743.3,1293.180054,1272.310059,1945.40871,1286.109985,11910000
2/18/1985,309743.3,1295.27002,1274.400024,1988.191699,1281.030029,11900000
2/19/1985,309743.3,1288.319946,1271.420044,2031.915562,1284.01001,8790000
2/20/1985,307846.8,1309.959961,1282.689941,2076.600991,1299.359985,14730000
2/21/1985,307846.8,1304.550049,1283.130005,2121.989513,1289.530029,12010000
2/22/1985,307846.8,1300.02002,1281.030029,2168.370099,1291.849976,10060000
2/23/1985,307846.8,1296.930054,1275.51001,2215.76443,1280.369995,10990000
2/24/1985,307846.8,1283.23999,1265.459961,2264.194666,1271.530029,9870000
2/25/1985,307846.8,1280.810059,1264.130005,2313.683446,1269.660034,9120000
2/26/1985,307846.8,1277.050049,1260.930054,2364.25391,1268.550049,7710000
2/27/1985,312227,1279.47998,1262.47998,2415.929698,1271.75,8340000
2/28/1985,312227,1278.27002,1257.619995,2469.48631,1261.699951,8840000
3/1/1985,312227,1269.209961,1254.199951,2524.230171,1260.050049,7950000
3/2/1985,312227,1266.890015,1245.140015,2580.187601,1247.349976,11280000
3/3/1985,312227,1260.930054,1242.819946,2637.385502,1249.670044,8270000
3/4/1985,312227,1274.180054,1245.689941,2695.851372,1271.089966,8990000
3/5/1985,312227,1277.390015,1257.839966,2755.613321,1265.23999,10540000
3/6/1985,302096.9,1278.930054,1257.619995,2816.700079,1268.219971,9630000
3/7/1985,302096.9,1277.390015,1261.699951,2877.115141,1267.449951,7800000
3/8/1985,302096.9,1268.329956,1252.869995,2938.826038,1259.939941,7930000
3/9/1985,302096.9,1267.560059,1252.099976,3001.860565,1259.719971,9520000
3/10/1985,302096.9,1270.869995,1255.959961,3066.247112,1264.910034,8960000
3/11/1985,302096.9,1275.51001,1256.630005,3132.014678,1260.709961,8700000
3/12/1985,302096.9,1270.650024,1255.849976,3199.192884,1266.780029,9810000
3/13/1985,307361.7,1276.280029,1260.48999,3267.811988,1272.75,6930000
3/14/1985,307361.7,1280.150024,1261.47998,3339.124406,1265.680054,8460000
3/15/1985,307361.7,1268.109985,1251.550049,3411.993051,1258.060059,9310000
3/16/1985,307361.7,1264.23999,1248.339966,3486.451886,1259.050049,6920000
3/17/1985,307361.7,1267.01001,1246.02002,3562.535613,1252.97998,7940000
3/18/1985,307361.7,1262.040039,1246.579956,3640.27969,1253.859985,8010000
3/19/1985,307361.7,,,3719.720351,,
3/20/1985,301744.5,,,3800.894621,,
3/21/1985,301744.5,,,3882.324453,,
3/22/1985,301744.5,,,3965.498827,,
3/23/1985,301744.5,,,4050.455116,,
3/24/1985,301744.5,,,4137.231498,,
3/25/1985,301744.5,,,4225.866964,,
3/26/1985,301744.5,,,4316.401344,,
3/27/1985,305828.5,,,4408.87532,,
3/28/1985,305828.5,,,4504.608861,,
3/29/1985,305828.5,,,4602.421142,,
3/30/1985,305828.5,,,4702.357303,,
3/31/1985,305828.5,,,4804.463459,,
4/1/1985,305828.5,,,4908.786731,,
4/2/1985,305828.5,,,5015.375259,,
4/3/1985,282298.2,,,5124.278233,,
4/4/1985,282298.2,,,5226.985024,,
4/5/1985,282298.2,,,5331.750385,,
4/6/1985,282298.2,,,5438.615576,,
4/7/1985,282298.2,,,5547.622684,,
4/8/1985,282298.2,,,5658.814641,,
4/9/1985,282298.2,,,5772.235237,,
4/10/1985,280769.6,,,5887.929142,,
4/11/1985,280769.6,,,6005.302899,,
4/12/1985,280769.6,,,6125.01646,,
4/13/1985,280769.6,,,6247.116468,,
4/14/1985,280769.6,,,6371.650496,,
4/15/1985,280769.6,,,6498.667065,,
4/16/1985,280769.6,,,6628.215664,,
4/17/1985,281740.6,,,6760.346768,,
